Player,height,weight,collage,born,birth_city,birth_state
Victor Alexander,206,120,Iowa State University,1969,Detroit,Michigan
Vic Bartolome,213,104,Oregon State University,1948,,
Viacheslav Kravtsov,213,117,,1987,Odessa,Ukraine
Vester Marshall,201,90,University of Oklahoma,1948,,
Vernon Maxwell,193,81,University of Florida,1965,Gainesville,Florida
Vernon Macklin,208,102,University of Florida,1986,Portsmouth,Virginia
Vern Mikkelsen*,201,104,Hamline University,1928,Fresno,California
Vern Hatton,190,88,University of Kentucky,1936,Owingsville,Kentucky
Vern Gardner,196,90,University of Utah,1925,Afton,Wyoming
Vern Fleming,196,83,University of Georgia,1962,New York,New York
Vassilis Spanoulis,193,88,,1982,Larissa,Greece
Vander Blue,193,90,Marquette University,1992,Milwaukee,Wisconsin
Uwe Blab,216,114,Indiana University,1962,Munich,Germany
Uros Slokar,208,107,,1983,Ljubljana,Slovenia
Udonis Haslem,203,106,University of Florida,1980,Miami,Florida
Tyus Jones,188,88,Duke University,1996,Burnsville,Minnesota
Tyus Edney,178,68,"University of California, Los Angeles",1973,Gardena,California
Tyson Wheeler,178,74,University of Rhode Island,1975,New Britain,Connecticut
Tyson Chandler,216,108,,1982,Hanford,California
Tyshawn Taylor,190,83,University of Kansas,1990,Hoboken,New Jersey
Tyrus Thomas,206,97,Louisiana State University,1986,Baton Rouge,Louisiana
Tyronn Lue,183,79,University of Nebraska,1977,Mexico,Missouri
Tyrone Nesby,198,102,"University of Nevada, Las Vegas",1976,Cairo,Illinois
Tyrone Hill,206,108,Xavier University,1968,Cincinnati,Ohio
Tyrone Corbin,198,95,DePaul University,1962,Columbia,South Carolina
Tyrone Britt,193,86,Johnson C. Smith University,1944,,
Tyreke Evans,198,99,University of Memphis,1989,Chester,Pennsylvania
Tyler Zeller,213,114,University of North Carolina,1990,Visalia,California
Tyler Ulis,178,68,University of Kentucky,1996,Detroit,Michigan
Tyler Johnson,193,84,"California State University, Fresno",1992,Grand Forks,North Dakota
Tyler Honeycutt,203,85,"University of California, Los Angeles",1990,Los Angeles,California
Tyler Hansbrough,206,113,University of North Carolina,1985,Poplar Bluff,Missouri
Tyler Ennis,190,87,Syracuse University,1994,Brampton,Canada
Ty Lawson,180,88,University of North Carolina,1987,Clinton,Maryland
Truck Robinson,201,102,Tennessee State University,1951,Jacksonville,Florida
Troy Williams,198,97,South Carolina State University,1969,Columbia,South Carolina
Troy Murphy,211,111,University of Notre Dame,1980,Morristown,New Jersey
Troy Hudson,185,77,Southern Illinois University,1976,Carbondale,Illinois
Troy Daniels,193,92,Virginia Commonwealth University,1991,Roanoke,Virginia
Troy Bell,185,81,Boston College,1980,Minneapolis,Minnesota
Tristan Thompson,206,107,University of Texas at Austin,1991,Toronto,Canada
Trey Thompkins,206,107,University of Texas at Austin,1991,Toronto,Canada
Trey Lyles,208,106,University of Kentucky,1995,Saskatoon,Canada
Trey Johnson,196,98,Jackson State University,1984,Jackson,Mississippi
Trey Gilder,206,83,Northwestern State University,1985,Dallas,Texas
Trey Burke,185,86,University of Michigan,1992,Columbus,Ohio
Trevor Winter,213,124,University of Minnesota,1974,Slayton,Minnesota
Trevor Wilson,201,95,"University of California, Los Angeles",1968,Los Angeles,California
Trevor Ruffin,185,83,University of Hawaii,1970,Buffalo,New York
Trevor Booker,203,103,Clemson University,1987,Newberry,South Carolina
Trevor Ariza,203,97,"University of California, Los Angeles",1985,Miami,Florida
Treveon Graham,198,99,Virginia Commonwealth University,1993,Washington,District of Columbia
Trenton Hassell,196,90,Austin Peay State University,1979,Clarksville,Tennessee
Trent Tucker,196,87,University of Minnesota,1959,Tarboro,North Carolina
Tremaine Fowlkes,203,99,"California State University, Fresno",1976,Los Angeles,California
Tree Rollins,216,106,Clemson University,1955,Winter Haven,Florida
Travis Williams,198,97,South Carolina State University,1969,Columbia,South Carolina
Travis Wear,208,104,"University of California, Los Angeles",1990,Long Beach,California
Travis Outlaw,206,95,,1984,Starkville,Mississippi
Travis Mays,188,86,University of Texas at Austin,1968,Ocala,Florida
Travis Leslie,193,92,University of Georgia,1990,Atlanta,Georgia
Travis Knight,213,106,University of Connecticut,1974,Salt Lake City,Utah
Travis Hansen,198,92,Brigham Young University,1978,Provo,Utah
Travis Grant,201,97,Kentucky State University,1950,Clayton,Alabama
Travis Diener,185,79,Marquette University,1982,Fond du Lac,Wisconsin
Travis Best,180,82,Georgia Institute of Technology,1972,Springfield,Massachusetts
Trajan Langdon,190,89,Duke University,1976,Palo Alto,California
Tracy Murray,201,102,"University of California, Los Angeles",1971,Los Angeles,California
Tracy Moore,193,90,University of Tulsa,1965,Oklahoma City,Oklahoma
Tracy McGrady,203,95,,1979,Bartow,Florida
Tracy Jackson,198,92,University of Notre Dame,1959,Rockville,Maryland
Toure' Murry,196,88,Wichita State University,1989,Houston,Texas
Torraye Braggs,203,111,Xavier University,1976,Fresno,California
Tornike Shengelia,206,98,,1991,Tbilisi,Georgia
Torgeir Bryn,206,113,Texas State University,1964,Oslo,Norway
Tony Zeno,203,95,Arizona State University,1957,New Orleans,Louisiana
Tony Wroten,198,92,University of Washington,1993,Seattle,Washington
Tony Windis,185,72,University of Wyoming,1933,,
Tony White,188,77,University of Tennessee,1965,Charlotte,North Carolina
Tony Snell,201,90,University of New Mexico,1991,Riverside,California
Tony Smith,201,95,,1968,,
Tony Robertson,193,88,West Virginia University,1956,Detroit,Michigan
Tony Price,198,86,University of Pennsylvania,1957,Bronx,New York
Tony Parker,188,83,,1982,Bruges,Belgium
Tony Mitchell,201,92,Purdue University,1966,Toledo,Ohio
Tony Massenburg,206,99,University of Maryland,1967,Sussex,Virginia
Tony Lavelli,190,83,Yale University,1926,Somerville,Massachusetts
Tony Jaros,190,83,University of Minnesota,1920,Minneapolis,Minnesota
Tony Jackson,193,90,St. John's University,1942,Brooklyn,New York
Tony Harris,190,86,University of New Orleans,1967,Monroe,Louisiana
Tony Fuller,193,81,Pepperdine University,1958,Detroit,Michigan
Tony Farmer,206,110,University of Nebraska,1970,Los Angeles,California
Tony Dumas,198,86,University of Missouri-Kansas City,1972,Chicago,Illinois
Tony Delk,185,85,University of Kentucky,1974,Covington,Tennessee
Tony Dawson,201,97,Florida State University,1967,Kinston,North Carolina
Tony Campbell,201,97,Ohio State University,1962,Teaneck,New Jersey
Tony Brown,198,83,University of Arkansas,1960,Chicago,Illinois
Tony Bobbitt,193,86,University of Cincinnati,1979,Daytona,Florida
Tony Bennett,183,79,University of Wisconsin-Green Bay,1969,Green Bay,Wisconsin
Tony Battie,211,104,Texas Tech University,1976,Dallas,Texas
Tony Allen,193,96,Oklahoma State University,1982,Chicago,Illinois
Toni Kukoc,208,87,,1968,Split,Croatia
Toney Douglas,188,88,Florida State University,1986,Jonesboro,Georgia
Tommy O'Keefe,188,83,Georgetown University,1928,Jersey City,New Jersey
Tommy Kron,196,90,University of Kentucky,1943,,
Tommy Kearns,180,83,University of North Carolina,1936,New York,New York
Tommy Byrnes,190,79,Seton Hall University,1923,Teaneck,New Jersey
Tommie Green,188,83,Southern University and A&M College,1956,Baton Rouge,Louisiana
Tomas Satoransky,201,95,,1991,Prague,Czech Republic
Tom Workman,201,98,Seattle University,1944,Seattle,Washington
Tom Van,208,106,,1940,,
Tom Tolbert,201,106,University of Arizona,1965,Long Beach,California
Tom Thacker,188,77,University of Cincinnati,1939,Covington,Kentucky
Tom Stith,196,95,St. Bonaventure University,1939,Greenville County,Virginia
Tom Sluby,193,90,University of Notre Dame,1962,Washington,District of Columbia
Tom Sewell,196,83,Lamar University,1962,Pensacola,Florida
Tom Scheffler,211,108,Purdue University,1954,St. Joseph,Michigan
Tom Sanders*,198,95,New York University,1938,New York,New York
Tom Riker,208,102,University of South Carolina,1950,Rockville Centre,New York
Tom Piotrowski,216,108,La Salle University,1960,West Chester,Pennsylvania
Tom Payne,218,108,University of Kentucky,1950,,
Tom Patterson,198,99,Ouachita Baptist University,1948,,
Tom Owens,208,97,University of South Carolina,1949,Bronx,New York
Tom Meschery,198,97,Saint Mary's College of California,1938,Harbin Manchuria,China
Tom McMillen,211,97,University of Maryland,1952,Elmira,New York
Tom Marshall,193,97,Western Kentucky University,1931,,
Tom LaGarde,208,99,University of North Carolina,1955,Detroit,Michigan
Tom Kropp,190,92,University of Nebraska at Kearney,1953,Grand Island,Nebraska
Tom Kozelko,203,99,University of Toledo,1951,Traverse City,Michigan
Tom Ingelsby,190,81,Villanova University,1951,Philadelphia,Pennsylvania
Tom Hovasse,203,92,Pennsylvania State University,1967,Durango,Colorado
Tom Hoover,206,104,Villanova University,1941,Washington,District of Columbia
Tom Henderson,190,86,University of Hawaii,1952,Newberry,South Carolina
Tom Heinsohn*,201,98,College of the Holy Cross,1934,Union City,New Jersey
Tom Hawkins,196,95,University of Notre Dame,1936,Chicago,Illinois
Tom Hammonds,206,97,Georgia Institute of Technology,1967,Fort Walton,Florida
Tom Gugliotta,208,108,North Carolina State University,1969,Huntington Station,New York
Tom Gola*,198,92,La Salle University,1933,Philadelphia,Pennsylvania
Tom Garrick,188,83,University of Rhode Island,1966,West Warwick,Rhode Island
Tom Copa,208,124,Marquette University,1964,Robbinsdale,Minnesota
Tom Chambers,208,99,University of Utah,1959,Ogden,Utah
Tom Burleson,218,102,North Carolina State University,1952,Crossnore,North Carolina
Tom Brennan,190,88,Villanova University,1930,,
Tom Boswell,206,99,University of South Carolina,1953,Montgomery,Alabama
Tom Boerwinkle,213,120,University of Tennessee,1945,Cleveland,Ohio
Tom Black,208,99,South Dakota State University,1941,,
Tom Barker,211,102,University of Hawaii,1955,Harlingen,Texas
Tom Abernethy,201,99,Indiana University,1954,South Bend,Indiana
Togo Palazzi,193,92,College of the Holy Cross,1932,Union City,New Jersey
Todd Mundt,213,113,Delta State University,1970,Iowa City,Iowa
Todd Mitchell,201,92,Purdue University,1966,Toledo,Ohio
Todd MacCulloch,213,127,University of Washington,1976,Winnipeg,Canada
Todd Lichti,193,92,Stanford University,1967,Walnut Creek,California
Todd Fuller,193,81,Pepperdine University,1958,Detroit,Michigan
Todd Day,198,85,University of Arkansas,1970,Decatur,Illinois
Tod Murphy,206,99,"University of California, Irvine",1963,Long Beach,California
Toby Knight,206,95,University of Notre Dame,1955,Bronx,New York
Toby Kimball,198,99,University of Connecticut,1942,Framingham,Massachusetts
Toby Bailey,198,96,"University of California, Los Angeles",1975,Los Angeles,California
Tobias Harris,190,86,University of New Orleans,1967,Monroe,Louisiana
Tito Maddox,193,86,"California State University, Fresno",1981,Compton,California
Tito Horford,216,111,University of Miami,1966,LaRomana,Dominican Republic
Tiny Archibald*,185,68,University of Texas at El Paso,1948,New York,New York
Timothe Luwawu-Cabarrot,198,92,,1995,Cannes,France
Timofey Mozgov,216,124,,1986,St. Petersburg,Russia
Tim Young,213,99,Stanford University,1976,Santa Cruz,California
Tim Thomas,208,104,Villanova University,1977,Paterson,New Jersey
Tim Quarterman,198,88,Louisiana State University,1994,Savannah,Georgia
Tim Perry,206,90,Temple University,1965,Freehold,New Jersey
Tim Ohlbrecht,211,115,,1988,Wuppertal,Germany
Tim McCormick,211,108,University of Michigan,1962,Detroit,Michigan
Tim Legler,193,90,La Salle University,1966,Washington,District of Columbia
Tim Kempton,208,111,University of Notre Dame,1964,Jamaica,New York
Tim James,201,96,University of Miami,1976,Miami,Florida
Tim Hardaway,183,79,University of Texas at El Paso,1966,Chicago,Illinois
Tim Frazier,185,77,Pennsylvania State University,1990,Houston,Texas
Tim Duncan,211,113,Wake Forest University,1976,St. Croix,U.S. Virgin Islands
Tim Breaux,201,97,University of Wyoming,1970,Baton Rouge,Louisiana
Tim Bassett,203,102,University of Georgia,1951,Washington,District of Columbia
Tierre Brown,188,85,McNeese State University,1979,Iowa,Louisiana
Ticky Burden,188,83,University of Utah,1953,Haines City,Florida
Tibor Pleiss,221,116,,1989,Bergisch Gladbach,Germany
Tiago Splitter,211,111,,1985,Joinville,Brazil
Thurl Bailey,211,97,North Carolina State University,1961,Washington,District of Columbia
Thon Maker,216,97,,1997,South Sudan,
Thomas Robinson,208,107,University of Kansas,1991,Washington,District of Columbia
Thomas Jordan,208,99,Oklahoma State University,1968,Baltimore,Maryland
Thomas Hamilton,218,149,University of Pittsburgh,1975,Chicago,Illinois
Thomas Gardner,196,102,University of Missouri,1985,Portland,Oregon
Theron Smith,203,102,Ball State University,1980,Bartow,Florida
Theo Ratliff,208,102,University of Wyoming,1973,Demopolis,Alabama
Tharon Mayes,190,79,Florida State University,1968,New Haven,Connecticut
Thanasis Antetokounmpo,201,92,,1992,Athens,Greece
Thales McReynolds,190,83,Miles College,1943,Birmingham,Alabama
Thaddeus Young,203,100,Georgia Institute of Technology,1988,New Orleans,Louisiana
Thabo Sefolosha,201,99,,1984,Vevey,Switzerland
Tex Ritter,188,83,Eastern Kentucky University,1924,Richmond,Kentucky
Terry Tyler,201,97,University of Detroit Mercy,1956,Detroit,Michigan
Terry Thomas,203,99,University of Detroit Mercy,1953,Detroit,Michigan
Terry Teagle,196,88,Baylor University,1960,Broaddus,Texas
Terry Rozier,188,86,University of Louisville,1994,Youngstown,Ohio
Terry Porter,190,88,University of Wisconsin-Stevens Point,1963,Milwaukee,Wisconsin
Terry Mills,208,104,University of Michigan,1967,Romulus,Michigan
Terry Furlow,193,86,Michigan State University,1954,Flint,Michigan
Terry Duerod,188,81,University of Detroit Mercy,1956,Royal Oak,Michigan
Terry Driscoll,201,97,Boston College,1947,Winthrop,Massachusetts
Terry Dozier,206,95,University of South Carolina,1966,Baltimore,Maryland
Terry Dischinger,201,85,Purdue University,1940,Terre Haute,Indiana
Terry Dehere,188,86,Seton Hall University,1971,New York,New York
Terry Davis,206,102,Virginia Union University,1967,Danville,Virginia
Terry Cummings,206,99,DePaul University,1961,Chicago,Illinois
Terry Crosby,193,88,University of Tennessee,1957,Toledo,Ohio
Terry Catledge,203,99,University of South Alabama,1963,Houston,Mississippi
Terrence Williams,198,99,University of Louisville,1987,Seattle,Washington
Terrence Ross,201,93,University of Washington,1991,Portland,Oregon
Terrence Rencher,190,83,University of Texas at Austin,1973,Bronx,New York
Terrence Jones,206,114,University of Kentucky,1992,Portland,Oregon
Terrell Brandon,180,81,University of Oregon,1970,Portland,Oregon
Terrel Harris,196,86,Oklahoma State University,1987,Dallas,Texas
Terrance Roberson,201,97,"California State University, Fresno",1976,Saginaw,Michigan
Terence Stansbury,196,77,Temple University,1961,Wilmington,Delaware
Terence Morris,206,100,University of Maryland,1979,Frederick,Maryland
Tellis Frank,208,102,Western Kentucky University,1965,Gary,Indiana
Ted McClain,185,81,Tennessee State University,1946,Nashville,Tennessee
Ted Manakas,188,81,Princeton University,1951,,
Ted Luckenbill,198,92,University of Houston,1939,,
Tayshaun Prince,206,96,University of Kentucky,1980,Compton,California
Taylor Griffin,201,107,University of Oklahoma,1986,Oklahoma City,Oklahoma
Taurean Waller-Prince,183,88,,1994,,
Taurean Green,183,80,University of Florida,1986,Fort Lauderdale,Florida
Tate George,196,86,University of Connecticut,1968,Newark,New Jersey
Tate Armstrong,190,79,Duke University,1955,Moultrie,Georgia
Tariq Abdul-Wahad,198,101,San Jose State University,1974,Maisons Alfort,France
Tarik Black,206,113,University of Kansas,1991,Memphis,Tennessee
Tarence Kinsey,198,83,University of South Carolina,1984,Tampa,Florida
Tang Hamilton,203,99,Mississippi State University,1978,Jackson,Mississippi
Tamar Slay,203,97,Marshall University,1980,Beckley,West Virginia
Tal Skinner,196,88,University of Maryland Eastern Shore,1952,Berlin,Maryland
Taj Gibson,206,102,University of Southern California,1985,Brooklyn,New York
T.R. Dunn,201,104,,1954,,
T.J. Warren,208,108,,1995,,
T.J. McConnell,208,108,,1994,,
T.J. Ford,201,92,,1977,,
Sylvester Norris,211,99,Jackson State University,1957,Jackson,Mississippi
Sylvester Gray,198,104,University of Memphis,1967,Millington,Tennessee
Swen Nater,211,108,"University of California, Los Angeles",1950,Denhelder,Netherlands
Swede Halbrook,221,106,Oregon State University,1933,,
Sundiata Gaines,185,83,University of Georgia,1986,Jamaica,New York
Sun Yue,206,92,,1985,Hebei,China
Stuart Gray,213,106,"University of California, Los Angeles",1963,Panama Canal Zone,Panama
Stu Lantz,190,79,University of Nebraska,1946,Uniontown,Pennsylvania
Stromile Swift,206,102,Louisiana State University,1979,Shreveport,Louisiana
Stojko Vrankovic,218,117,,1964,Drnis,Croatia
Stewart Granger,190,86,Villanova University,1961,Montreal,Canada
Stevin Smith,201,90,Michigan State University,1969,Highland Park,Michigan
Steven Smith,201,90,Michigan State University,1969,Highland Park,Michigan
Steven Hunter,213,99,DePaul University,1981,Chicago,Illinois
Steven Hill,213,112,University of Arkansas,1985,Chanute,Kansas
Steven Adams,213,115,University of Pittsburgh,1993,Rotorua,New Zealand
Steve Stipanovich,211,111,University of Missouri,1960,St. Louis,Missouri
Steve Smith,201,90,Michigan State University,1969,Highland Park,Michigan
Steve Sheppard,198,97,University of Maryland,1954,New York,New York
Steve Scheffler,206,113,Purdue University,1967,Grand Rapids,Michigan
Steve Patterson,206,102,"University of California, Los Angeles",1948,Riverside,California
Steve Novak,208,102,Marquette University,1983,Libertyville,Illinois
Steve Nash,190,88,Santa Clara University,1974,Johannesburg,South Africa
Steve Mix,201,97,University of Toledo,1947,Toledo,Ohio
Steve Malovic,208,104,San Diego State University,1956,Cleveland,Ohio
Steve Lingenfelter,206,102,South Dakota State University,1958,Eau Claire,Wisconsin
Steve Kuberski,203,97,Bradley University,1947,Moline,Illinois
Steve Kerr,190,79,University of Arizona,1965,Beirut,Lebanon
Steve Jones,196,92,University of Oregon,1942,Alexandria,Louisiana
Steve Johnson,203,99,Murray State University,1944,Clairton,Pennsylvania
Steve Henson,180,80,Kansas State University,1968,Junction City,Kansas
Steve Hayes,213,92,Idaho State University,1955,American Falls,Idaho
Steve Hawes,206,99,University of Washington,1950,Seattle,Washington
Steve Harris,196,88,University of Tulsa,1963,Kansas City,Missouri
Steve Hamilton,198,86,Morehead State University,1935,Columbia,Kentucky
Steve Hamer,213,111,University of Tennessee,1973,Memphis,Tennessee
Steve Green,201,99,Indiana University,1953,Madison,Wisconsin
Steve Goodrich,208,99,Princeton University,1976,Philadelphia,Pennsylvania
Steve Francis,190,88,University of Maryland,1977,Silver Spring,Maryland
Steve Downing,203,102,Indiana University,1950,Indianapolis,Indiana
Steve Courtin,185,85,Saint Joseph's University,1942,,
Steve Colter,190,74,New Mexico State University,1962,Phoenix,Arizona
Steve Burtt,188,83,Iona College,1962,New York,New York
Steve Bucknall,198,97,University of North Carolina,1966,London,United Kingdom
Steve Bracey,185,79,University of Tulsa,1950,Brooklyn,New York
Steve Blake,190,78,University of Maryland,1980,Hollywood,Florida
Steve Bardo,196,86,University of Illinois at Urbana-Champaign,1968,Henderson,Kentucky
Steve Alford,188,83,Indiana University,1964,Franklin,Indiana
Stephon Marbury,188,81,Georgia Institute of Technology,1977,Brooklyn,New York
Stephen Zimmerman,213,108,"University of Nevada, Las Vegas",1996,Hendersonville,Tennessee
Stephen Thompson,193,83,Syracuse University,1968,Los Angeles,California
Stephen Jackson,190,83,University of Alabama at Birmingham,1970,Tuskegee,Alabama
Stephen Howard,206,102,DePaul University,1970,Dallas,Texas
Stephen Graham,198,97,Oklahoma State University,1982,Wilmington,Delaware
Stephen Curry,190,86,Davidson College,1988,Akron,Ohio
Stephane Lasme,203,97,University of Massachusetts Amherst,1982,Port-Gentil,Gabon
Steffond Johnson,203,99,Murray State University,1944,Clairton,Pennsylvania
Stefano Rusconi,206,108,,1968,Bassanod'Grappa,Italy
Stanley Roberts,213,129,Louisiana State University,1970,Hopkins,South Carolina
Stanley Johnson,203,99,Murray State University,1944,Clairton,Pennsylvania
Stanley Jackson,190,83,University of Alabama at Birmingham,1970,Tuskegee,Alabama
Stanley Brundy,198,95,DePaul University,1967,New Orleans,Louisiana
